
2025/03/19 (19:47:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (19:47:21) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (08:25:30) | ===> btop++ v.1.4.0
2025/03/29 (08:25:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/29 (08:25:38) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (14:54:58) | ===> btop++ v.1.4.0
2025/04/19 (14:54:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (14:58:23) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (22:56:35) | ===> btop++ v.1.4.0
2025/04/20 (22:56:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/20 (22:56:42) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (19:01:49) | ===> btop++ v.1.4.0
2025/04/22 (19:01:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/22 (19:02:01) | WARNING: Failed to join _runner thread on exit!
